Wavenumber;Intensity
1503,9808;0,012847
1505,8445;0,011671
1507,7082;0,010600
1509,5718;0,010188
1511,4355;0,009710
1513,2992;0,009557
1515,1628;0,009227
1517,0265;0,007861
1518,8902;0,006914
1520,7538;0,007321
1522,6175;0,007020
1524,4812;0,006024
1526,3448;0,005943
1528,2085;0,006138
1530,0722;0,005742
1531,9359;0,005511
1533,7995;0,005374
1535,6632;0,005542
1537,5269;0,005881
1539,3905;0,006177
1541,2542;0,006193
1543,1179;0,005579
1544,9815;0,004592
1546,8452;0,004668
1548,7089;0,005225
1550,5725;0,005112
1552,4362;0,004390
1554,2999;0,003502
1556,1635;0,003359
1558,0272;0,003611
1559,8909;0,003446
1561,7546;0,003122
1563,6182;0,002724
1565,4819;0,002929
1567,3456;0,003257
1569,2092;0,002692
1571,0729;0,002387
1572,9366;0,003099
1574,8002;0,003402
1576,6639;0,003192
1578,5276;0,003418
1580,3912;0,003162
1582,2549;0,002624
1584,1186;0,002427
1585,9822;0,002444
1587,8459;0,002527
1589,7096;0,002455
1591,5733;0,002385
1593,4369;0,002331
1595,3006;0,001964
1597,1643;0,001852
1599,0279;0,002130
1600,8916;0,002257
1602,7553;0,001811
1604,6189;0,001621
1606,4826;0,002222
1608,3463;0,002880
1610,2099;0,002927
1612,0736;0,002596
1613,9373;0,002517
1615,8010;0,002663
1617,6646;0,002389
1619,5283;0,002195
1621,3920;0,002263
1623,2556;0,001831
1625,1193;0,001170
1626,9830;0,001502
1628,8466;0,001257
1630,7103;0,000538
1632,5740;0,001099
1634,4376;0,000947
1636,3013;0,000599
1638,1650;0,001164
1640,0286;0,000970
1641,8923;0,000809
1643,7560;0,001100
1645,6197;0,001080
1647,4833;0,001098
1649,3470;0,001455
1651,2107;0,001430
1653,0743;0,001507
1654,9380;0,001747
1656,8017;0,001178
1658,6653;0,000584
1660,5290;0,000474
1662,3927;0,000591
1664,2563;0,001401
1666,1200;0,002087
1667,9837;0,001741
1669,8474;0,001562
1671,7110;0,001465
1673,5747;0,000876
1675,4384;0,001374
1677,3020;0,001823
1679,1657;0,000956
1681,0294;0,000905
1682,8930;0,001619
1684,7567;0,001453
1686,6204;0,000331
1688,4840;-0,000218
1690,3477;0,000301
1692,2114;0,000090
1694,0750;-0,000816
1695,9387;-0,000538
1697,8024;-0,000570
1699,6661;-0,002014
1701,5297;-0,001973
1703,3934;-0,000344
1705,2571;-0,000146
1707,1207;-0,000417
1708,9844;0,000002
1710,8481;0,000064
1712,7117;0,000881
1714,5754;0,001877
1716,4391;0,001183
1718,3027;0,000933
1720,1664;0,001371
1722,0301;0,000832
1723,8937;0,000453
1725,7574;0,001039
1727,6211;0,001144
1729,4848;0,000730
1731,3484;0,001564
1733,2121;0,002476
1735,0758;0,001521
1736,9394;0,001096
1738,8031;0,002035
1740,6668;0,002476
1742,5304;0,002543
1744,3941;0,002663
1746,2578;0,002415
1748,1214;0,002400
1749,9851;0,002864
1751,8488;0,002179
1753,7125;0,001270
1755,5761;0,001840
1757,4398;0,002322
1759,3035;0,002200
1761,1671;0,002902
1763,0308;0,003331
1764,8945;0,002675
1766,7581;0,002757
1768,6218;0,003457
1770,4855;0,003281
1772,3491;0,002574
1774,2128;0,002401
1776,0765;0,002681
1777,9401;0,001977
1779,8038;0,001234
1781,6675;0,001603
1783,5312;0,001493
1785,3948;0,000330
1787,2585;-0,000035
1789,1222;0,000605
